bar_idx,entry_i,exit_i,side,entry_px,exit_px,exit_type,pnl_pct,pnl_usd,hold,equity,entry_atr
256,250,256,LONG,90695.2,91233.15142024176,TP,2.59071053507666,0.129535526753833,6,10.129535526753832,179.31714008058717
259,257,259,LONG,90948.9,90720.31702004575,SL,-1.6316561000421084,-0.08263959216410571,2,10.046895934589726,228.58297995423973
262,260,262,LONG,90664.0,90422.1625339069,SL,-1.7087017233582271,-0.08583574198917115,2,9.961060192600554,241.83746609309938
264,263,264,LONG,90962.6,90674.68228388975,SL,-1.9576159108812687,-0.0974996496114044,1,9.86356054298915,287.91771611025547
267,265,267,LONG,91371.5,92390.97950034642,TP,5.203760884665468,0.2566380526856831,2,10.120198595674834,339.8265001154751
271,268,271,LONG,92128.3,91702.90338164954,SL,-2.6837184847135345,-0.13579882020092252,3,9.984399775473912,425.3966183504737
278,272,278,LONG,90704.2,90218.79331485038,SL,-3.0507674129181397,-0.152300407362815,6,9.832099368111097,485.4066851496214
281,279,281,LONG,91634.2,91116.71569014607,SL,-3.1986417726892897,-0.15724681876036062,2,9.674852549350735,517.4843098539317
285,282,285,LONG,91660.3,91069.90068194276,SL,-3.5955836008459836,-0.17393370583524229,3,9.500918843515493,590.3993180572477
303,286,303,LONG,91194.8,92914.36524284411,TP,9.052978584547136,0.4300580741193305,17,9.930976917634823,573.1884142813693
310,304,310,LONG,93351.0,95125.5283970777,TP,9.129603041626147,0.45332938536778966,6,10.384306303002612,591.5094656925672
318,311,318,LONG,95389.5,94641.25899955786,SL,-4.29703020480314,-0.22310838919964926,7,10.161197913802962,748.241000442135
327,319,327,LONG,95189.0,97021.41937270835,TP,9.25016347849196,0.4699637091999443,8,10.631161623002907,610.8064575694514
330,328,330,LONG,97241.5,96563.62508702604,SL,-3.860522708791822,-0.20520920433219422,2,10.425952418670713,677.8749129739593
336,331,336,LONG,97216.4,96481.16618666043,SL,-4.156428922175534,-0.21667365087094456,5,10.209278767799768,735.2338133395727
350,337,350,LONG,96390.1,95700.0634971887,SL,-3.9543950976879545,-0.2018576095515856,13,10.007421158248182,690.0365028112983
354,351,354,LONG,96694.8,96011.17277697372,SL,-3.9099740783696686,-0.19564378660039278,3,9.81177737164779,683.6272230262821
375,355,375,LONG,95458.6,94752.07220905734,SL,-4.075702665567435,-0.1999494359378957,20,9.611827935709893,706.5277909426699
431,376,431,LONG,94828.0,94323.04312472326,SL,-3.037488269692176,-0.1459790730250918,55,9.465848862684801,504.9568752767406
433,432,433,LONG,92652.4,92217.48652262565,SL,-2.7220167927346908,-0.128830997808583,1,9.337017864876218,434.9134773743439
460,434,460,LONG,92511.2,92071.00470573334,SL,-2.754145953498918,-0.1285775498514797,26,9.208440315024738,440.19529426665406
462,461,462,LONG,91587.9,91165.66893102763,SL,-2.6800592325644104,-0.12339582741900189,1,9.085044487605737,422.2310689723633
464,463,464,LONG,91124.9,90672.31249665137,SL,-2.8583360769044854,-0.12984055209602852,1,8.955203935509708,452.58750334862
470,465,470,LONG,90981.3,90535.22557109226,SL,-2.8264621625968402,-0.1265577254102825,5,8.828646210099425,446.07442890773785
472,471,472,LONG,90635.2,90127.84456064468,SL,-3.1738874044262984,-0.1401056450218527,1,8.688540565077572,507.3554393553244
478,473,478,LONG,89730.3,89151.51648341301,SL,-3.6001286164595165,-0.15639931761802553,5,8.532141247459547,578.7835165869898
495,479,495,LONG,88379.9,90330.02939431343,TP,10.657652188526114,0.4546629691940059,16,8.986804216653553,650.043131437811
499,496,499,LONG,87549.4,89930.92961656461,TP,13.22606189513932,0.5943001440447947,3,9.581104360698347,793.8432055215379
518,500,518,LONG,90174.4,89252.99876372083,SL,-5.4839956588520336,-0.26271367360539016,18,9.318390687092958,921.4012362791715
545,519,545,LONG,88945.4,90698.4728899305,TP,9.479769835935917,0.4416809947748499,26,9.760071681867807,584.3576299768367
547,546,547,LONG,90477.6,89863.31968289032,SL,-3.7696541304681337,-0.1839604726460902,1,9.576111209221716,614.2803171096845
582,548,582,LONG,89455.7,88794.96493065542,SL,-4.0680853447268985,-0.19478218834854924,34,9.381329020873167,660.7350693445749
584,583,584,LONG,88620.0,88382.5290052819,SL,-1.7148273229411894,-0.08043679665247212,1,9.300892224220695,237.47099471810336
592,585,592,LONG,88363.5,88098.09031577878,SL,-1.8768060863434268,-0.08727985567420826,7,9.213612368546487,265.4096842212214
594,593,594,LONG,87835.2,87497.27202394292,SL,-2.2986477861784285,-0.10589424836832785,1,9.10771812017816,337.9279760570736
602,595,602,LONG,86453.1,87847.29685643336,TP,7.688313267154926,0.3501149502843653,7,9.457833070462524,464.7322854777828
628,603,628,LONG,87241.2,88896.35926246583,TP,9.111110131828983,0.43085679356719164,25,9.888689864029715,551.7197541552783
633,629,633,LONG,88418.1,87898.8843525982,SL,-3.311138909351183,-0.16371412885647724,4,9.724975735173237,519.2156474018187
641,634,641,LONG,87735.2,87284.47578469766,SL,-2.9436623801070563,-0.1431352260954171,7,9.58184050907782,450.7242153023362
659,642,659,LONG,88242.1,90014.30165945993,TP,9.666701520362322,0.46312396108485926,17,10.044964470162679,590.7338864866423
662,660,662,LONG,89968.0,89473.6670024456,SL,-3.1222712384092324,-0.15681551828015783,2,9.88814895188252,494.3329975544049
669,663,669,LONG,89439.8,88887.13841267237,SL,-3.464573027486803,-0.17129107075232042,6,9.7168578811302,552.6615873276342
673,670,673,LONG,89336.5,88699.62557864242,SL,-3.939469289470629,-0.19139631606431537,3,9.525461565065886,636.8744213575817
686,674,686,LONG,87864.7,87229.53467439624,SL,-3.989451114063722,-0.1900068162636163,12,9.335454748802269,635.1653256037555
688,687,688,LONG,84891.6,84233.99107436424,SL,-4.2482273018518,-0.1982956686953192,1,9.137159080106949,657.6089256357706
690,689,690,LONG,84218.2,83457.08363044671,SL,-4.893716676165546,-0.2235733388154841,1,8.913585741291465,761.1163695532913
697,691,697,LONG,83967.6,83157.17262013008,SL,-5.2008338922985144,-0.23179039412608715,6,8.681795347165378,810.4273798699297
734,698,734,LONG,82119.9,81205.82390907872,SL,-5.940496858381869,-0.25787088992475127,36,8.423924457240627,914.0760909212703
736,735,736,LONG,81255.2,80574.36278986422,SL,-4.564499319033008,-0.19225498724330173,1,8.231669469997325,680.8372101357843
738,737,738,LONG,78848.1,77939.60005860742,SL,-6.136076940297761,-0.25255078607501835,1,7.979118683922306,908.4999413925896
764,739,764,LONG,77719.1,76610.14137706456,SL,-7.509402115666849,-0.29959205363101526,25,7.67952663029129,1108.9586229354468
771,765,771,LONG,76490.6,75618.25555347989,SL,-6.077298364244241,-0.23335387314219672,6,7.446172757149093,872.3444465201245
783,772,783,LONG,75852.0,79254.2049013746,TP,22.05159983503792,0.821000109716064,11,8.267172866865158,1134.0683004581986
806,784,806,LONG,78588.2,77541.24885445833,SL,-7.035994561153378,-0.29083891663689015,22,7.976333950228268,1046.9511455416618
808,807,808,LONG,78097.1,77330.84390966415,SL,-5.280790934207899,-0.21060676006290058,1,7.765727190165367,766.2560903358607
810,809,810,LONG,74874.2,73984.19296292469,SL,-6.318349224935335,-0.24533288186520302,1,7.520394308300164,890.0070370753089
831,811,831,LONG,74889.3,73812.62046292996,SL,-7.563473767748116,-0.28440152536975266,20,7.235992782930411,1076.6795370700368
