ts,pnl_pct,cumulative_pnl_pct
2023-03-14 00:00:00,0.3432730668517365,0.3432730668517365
2023-03-14 00:30:00,0.33788457196757854,0.681157638819315
2023-03-14 01:00:00,0.31697852112282604,0.998136159942141
2023-03-14 01:30:00,0.31899319070133275,1.3171293506434738
2023-03-14 02:00:00,0.3122315031587859,1.6293608538022597
2023-03-14 02:30:00,0.2973447338694342,1.9267055876716939
2023-03-14 03:00:00,0.28563899019566985,2.2123445778673636
2023-03-14 03:30:00,0.27613051392459254,2.488475091791956
2023-03-14 07:30:00,-0.13134200169957233,2.3571330900923835
2023-03-14 08:00:00,-0.1313308894683128,2.2258022006240705
2023-03-14 08:30:00,0.30292404727519395,2.5287262478992645
2023-03-14 09:00:00,-0.12298438654857531,2.4057418613506893
2023-03-14 09:30:00,-0.11664732589629581,2.2890945354543937
2023-03-14 10:00:00,-0.11361938462603127,2.1754751508283623
2023-03-14 10:30:00,-0.12247384633267525,2.053001304495687
2023-03-14 11:00:00,-0.13411051377072625,1.9188907907249608
2023-03-14 17:00:00,-0.19380176284716474,1.7250890278777962
2023-03-15 10:00:00,-0.2090111273720266,1.5160779005057696
2023-03-15 11:00:00,-0.21263837169939037,1.3034395288063791
2023-03-15 21:30:00,-0.17366014195544893,1.1297793868509303
2023-03-15 22:00:00,-0.1734634983060433,0.956315888544887
2023-03-15 22:30:00,-0.16995376328514059,0.7863621252597465
2023-03-15 23:00:00,-0.1588290734636906,0.6275330517960559
2023-03-15 23:30:00,-0.15065177479480224,0.47688127700125366
2023-03-16 00:00:00,-0.13640674498009317,0.3404745320211605
2023-03-16 00:30:00,-0.13558068710386253,0.20489384491729798
2023-03-16 01:00:00,-0.12807461151373273,0.07681923340356525
2023-03-16 01:30:00,-0.12156080599782837,-0.04474157259426312
2023-03-16 02:00:00,-0.11799675641141152,-0.16273832900567464
2023-03-16 02:30:00,-0.10673901572448743,-0.26947734473016205
2023-03-16 03:00:00,-0.1069121847823469,-0.3763895295125089
2023-03-16 03:30:00,-0.10334617890379882,-0.47973570841630775
2023-03-16 04:00:00,-0.10107852926544432,-0.5808142376817521
2023-03-16 04:30:00,-0.09958483075526589,-0.680399068437018
2023-03-16 05:00:00,-0.0987878814520454,-0.7791869498890635
2023-03-16 05:30:00,-0.09523862531445162,-0.874425575203515
2023-03-16 06:00:00,-0.09736766128301713,-0.9717932364865322
2023-03-16 06:30:00,-0.09707660194259432,-1.0688698384291264
2023-03-16 08:00:00,-0.09301250154678978,-1.1618823399759162
2023-03-16 08:30:00,-0.08693973032663033,-1.2488220703025465
2023-03-16 09:00:00,-0.08950113842022323,-1.3383232087227697
2023-03-16 09:30:00,-0.10232415088895744,-1.440647359611727
2023-03-16 10:00:00,-0.10723158391824333,-1.5478789435299705
2023-03-16 11:00:00,-0.11008470132002957,-1.6579636448500001
2023-03-16 11:30:00,-0.11201820563527501,-1.7699818504852751
2023-03-16 12:00:00,-0.11854251718442808,-1.8885243676697032
2023-03-16 12:30:00,-0.12711515919384628,-2.0156395268635494
2023-03-16 22:00:00,-0.12830717677973053,-2.1439467036432798
2023-03-16 22:30:00,-0.12480495769350228,-2.268751661336782
2023-03-16 23:00:00,-0.12432439401753492,-2.3930760553543173
2023-03-16 23:30:00,-0.12161393150412411,-2.5146899868584414
2023-03-17 00:00:00,-0.11578970798792013,-2.6304796948463616
2023-03-17 00:30:00,-0.11469246159211477,-2.7451721564384766
2023-03-17 01:00:00,-0.13323075284006847,-2.8784029092785453
2023-03-17 01:30:00,0.34881201571431386,-2.5295908935642313
2023-03-17 02:00:00,0.3358387402916856,-2.1937521532725457
2023-03-17 02:30:00,-0.1449850407712316,-2.338737194043777
2023-03-17 03:00:00,-0.1479305653277567,-2.486667759371534
2023-03-17 03:30:00,0.35320740073883294,-2.133460358632701
2023-03-17 04:00:00,-0.1428847589453018,-2.2763451175780025
2023-03-17 04:30:00,-0.13674841205008126,-2.4130935296280835
2023-03-17 05:00:00,-0.13465675375208472,-2.5477502833801684
2023-03-17 05:30:00,-0.13306657420249685,-2.6808168575826654
2023-03-17 06:00:00,-0.13764194739906185,-2.818458804981727
2023-03-17 06:30:00,0.35325292083183335,-2.465205884149894
2023-03-17 07:00:00,-0.15695020085232142,-2.6221560850022154
2023-03-17 07:30:00,-0.16062697145313945,-2.782783056455355
2023-03-17 08:00:00,0.3544846987786473,-2.4282983576767077
2023-03-17 08:30:00,-0.13115419830201563,-2.5594525559787233
2023-03-17 09:00:00,-0.12172083260106545,-2.6811733885797886
2023-03-17 09:30:00,-0.11851093728808851,-2.799684325867877
2023-03-17 13:30:00,0.28205124672819903,-2.517633079139678
2023-03-17 14:00:00,0.2938297314840725,-2.2238033476556054
2023-03-17 16:00:00,-0.14660692025164931,-2.3704102679072547
2023-03-17 16:30:00,-0.14561893499582518,-2.5160292029030797
2023-03-17 17:00:00,0.3409661882575432,-2.1750630146455365
2023-03-17 17:30:00,0.3222399631911298,-1.8528230514544068
2023-03-17 18:00:00,-0.13986520334384991,-1.9926882547982567
2023-03-17 18:30:00,-0.14045148240381894,-2.1331397372020757
2023-03-17 20:00:00,-0.14232800711112625,-2.275467744313202
2023-03-17 20:30:00,-0.14669114098660296,-2.422158885299805
2023-03-18 04:30:00,-0.01,-2.432158885299805
2023-03-18 05:00:00,-0.01,-2.4421588852998046
2023-03-18 06:30:00,0.28016103896104,-2.161997846338765
2023-03-18 09:30:00,0.2799968605576535,-1.8820009857811113
2023-03-18 10:30:00,0.2725695383941614,-1.60943144738695
2023-03-18 11:00:00,0.23779851656612455,-1.3716329308208255
2023-03-18 11:30:00,0.23174606876332732,-1.1398868620574982
2023-03-18 12:00:00,0.21071382472180375,-0.9291730373356945
2023-03-18 12:30:00,-0.09436571229082968,-1.0235387496265242
2023-03-18 13:00:00,0.20884844182971626,-0.814690307796808
2023-03-18 13:30:00,0.19486654482407095,-0.619823762972737
2023-03-18 14:00:00,0.19528124059330962,-0.42454252237942736
2023-03-18 14:30:00,0.20329523698778668,-0.22124728539164068
2023-03-18 21:30:00,-0.10547562817476965,-0.3267229135664103
2023-03-18 22:00:00,-0.10564156624604686,-0.4323644798124572
2023-03-18 22:30:00,-0.1169265582153494,-0.5492910380278065
2023-03-19 00:30:00,-0.12418756332320163,-0.6734786013510081
2023-03-19 05:30:00,-0.12317698252803516,-0.7966555838790432
2023-03-19 06:00:00,-0.12112102891342492,-0.9177766127924681
2023-03-19 06:30:00,-0.12025145221654379,-1.038028065009012
2023-03-19 07:00:00,-0.12087624200954633,-1.1589043070185583
2023-03-19 07:30:00,-0.11570487665711437,-1.2746091836756728
2023-03-19 08:00:00,-0.11723678891272168,-1.3918459725883945
2023-03-19 08:30:00,-0.1073628752879188,-1.4992088478763133
2023-03-19 09:00:00,-0.10501339453112743,-1.6042222424074406
2023-03-19 09:30:00,-0.10462406098461716,-1.7088463033920578
2023-03-19 10:00:00,-0.09584883260783487,-1.8046951359998926
2023-03-19 10:30:00,-0.0881833578628953,-1.8928784938627878
2023-03-19 11:00:00,-0.085893748751747,-1.9787722426145349
2023-03-19 11:30:00,-0.08618198872815842,-2.064954231342693
2023-03-19 12:00:00,-0.08995217951075912,-2.154906410853452
2023-03-19 12:30:00,-0.09041339801058652,-2.2453198088640387
2023-03-19 13:00:00,-0.09181501682720167,-2.3371348256912405
2023-03-19 13:30:00,-0.09110393482657508,-2.4282387605178157
2023-03-19 14:00:00,-0.0910289863103643,-2.51926774682818
2023-03-19 14:30:00,-0.0927573168518616,-2.6120250636800413
2023-03-19 15:00:00,-0.09884393736538787,-2.7108690010454293
2023-03-19 15:30:00,0.24253342460922478,-2.4683355764362043
2023-03-19 16:00:00,-0.10812535552665034,-2.5764609319628544
2023-03-19 18:30:00,0.2701631038171941,-2.3062978281456603
2023-03-19 19:00:00,-0.11855420991575907,-2.4248520380614194
2023-03-19 19:30:00,-0.12370194265159354,-2.548553980713013
2023-03-21 07:00:00,-0.14796832946581495,-2.6965223101788283
2023-03-21 07:30:00,-0.14579896924628805,-2.8423212794251165
2023-03-21 08:00:00,0.3584234028876121,-2.4838978765375046
2023-03-21 08:30:00,0.33407074374935036,-2.1498271327881544
2023-03-21 09:00:00,-0.13057182146928292,-2.2803989542574374
2023-03-21 09:30:00,0.3421983492045306,-1.9382006050529068
2023-03-21 10:30:00,-0.13315059440114474,-2.0713511994540514
2023-03-21 11:00:00,-0.1310057862883124,-2.2023569857423637
2023-03-21 12:00:00,-0.13004600051111714,-2.3324029862534807
2023-03-21 17:00:00,-0.01,-2.3424029862534805
2023-03-21 19:30:00,-0.01,-2.3524029862534803
2023-03-21 20:30:00,-0.01,-2.36240298625348
2023-03-21 21:00:00,-0.11598258403654071,-2.478385570290021
2023-03-21 22:30:00,-0.10262677745963164,-2.5810123477496525
2023-03-21 23:00:00,-0.10045143363463453,-2.681463781384287
2023-03-21 23:30:00,-0.09892208716879403,-2.780385868553081
2023-03-22 00:00:00,-0.0890831505603312,-2.8694690191134122
2023-03-22 00:30:00,-0.08081985373434383,-2.950288872847756
2023-03-22 01:00:00,-0.07534764212138002,-3.0256365149691358
2023-03-22 01:30:00,-0.0725629153430481,-3.098199430312184
2023-03-22 02:00:00,-0.07253264856336124,-3.170732078875545
2023-03-22 02:30:00,-0.0698580960196542,-3.240590174895199
2023-03-22 03:30:00,-0.06931781844022004,-3.3099079933354187
2023-03-22 04:00:00,-0.06521171025942386,-3.3751197035948426
2023-03-22 07:30:00,-0.06638736361546402,-3.4415070672103067
2023-03-22 08:30:00,-0.06590360832612327,-3.50741067553643
2023-03-22 09:00:00,-0.06830200512407582,-3.575712680660506
2023-03-22 09:30:00,-0.06755155660278984,-3.643264237263296
2023-03-22 10:00:00,-0.06525134227932096,-3.708515579542617
2023-03-22 10:30:00,-0.06553538743523261,-3.7740509669778493
2023-03-22 11:00:00,-0.06611304634985543,-3.840164013327705
2023-03-22 11:30:00,-0.0636615568164898,-3.903825570144195
2023-03-22 12:00:00,-0.0654834853651042,-3.969309055509299
2023-03-22 12:30:00,-0.06429970489043041,-4.033608760399729
2023-03-22 13:00:00,0.14556575030041663,-3.888043010099312
2023-03-22 13:30:00,-0.07227711256112501,-3.960320122660437
2023-03-22 15:00:00,0.16342230004290187,-3.7968978226175354
2023-03-23 12:30:00,0.188179891405286,-3.6087179312122495
2023-03-23 13:00:00,0.19442186321597305,-3.4142960679962764
2023-03-23 13:30:00,0.20273606951599438,-3.211559998480282
2023-03-23 14:00:00,-0.08691178483402547,-3.2984717833143073
