entry_i,exit_i,side,entry_px,exit_px,exit_type,pnl_pct,pnl_usd,hold,equity,year
204,207,LONG,17211.0,17148.497850600175,SL,-1.0953808523593218,-0.05476904261796609,3,9.945230957382034,2023
250,251,SHORT,17478.0,17539.561280581376,SL,-1.0680538474278563,-0.05311021093795252,1,9.892120746444082,2023
255,256,SHORT,17929.0,18022.716760596217,SL,-1.4942761809947287,-0.07390780205467594,1,9.818212944389407,2023
257,261,LONG,18215.5,18095.392180914485,SL,-1.8359287980773895,-0.09012769945130356,4,9.728085244938104,2023
273,275,SHORT,18833.5,19022.940162373226,SL,-2.7021701671652227,-0.13143470866255966,2,9.596650536275543,2023
301,302,SHORT,19794.0,19997.157540783974,SL,-2.7533980092954087,-0.132116992412424,1,9.46453354386312,2023
304,318,SHORT,20894.0,21206.309809439645,SL,-3.9243360467077144,-0.18571005075728175,14,9.278823493105838,2023
367,390,LONG,20991.0,21561.74874517446,TP,6.610041150665276,0.30666702559594655,23,9.585490518701784,2023
414,415,SHORT,21418.0,20925.935666165275,TP,5.5560840628761445,0.26628895552904686,1,9.851779474230831,2023
416,422,LONG,20848.0,20610.45089724818,SL,-3.036083830005497,-0.1495541417924614,6,9.70222533243837,2023
468,470,SHORT,22288.5,22483.50298092021,SL,-2.3747600323060154,-0.11520228471950794,2,9.587023047718862,2023
472,482,LONG,22570.5,23255.59471090656,TP,7.40088651011895,0.3547623477303099,10,9.941785395449172,2023
516,534,LONG,22457.5,23074.402251985583,TP,6.679941300073273,0.3320527142976311,18,10.273838109746803,2023
567,569,LONG,22631.0,22441.730342944076,SL,-2.2783229536468204,-0.11703560593743802,2,10.156802503809365,2023
589,590,SHORT,23618.0,22962.229061413786,TP,6.753931732007508,0.3429917536310569,1,10.499794257440422,2023
605,606,LONG,23128.5,22925.0139605284,SL,-2.3870161756231676,-0.12531589366612766,1,10.374478363774294,2023
636,665,SHORT,23107.5,23298.750510868453,SL,-2.25663892533217,-0.11705725852854738,29,10.257421105245747,2023
675,683,LONG,23428.5,23845.27431836225,TP,4.259800492586514,0.2184728373839657,8,10.475893942629712,2023
697,699,LONG,23193.0,23035.08226914132,SL,-1.889713284813098,-0.09898217976840214,2,10.37691176286131,2023
700,707,LONG,23083.5,22913.303843040627,SL,-2.030766369477903,-0.10536541713529204,7,10.271546345726017,2023
734,755,SHORT,23179.5,23353.027161980124,SL,-2.0590585105386623,-0.10574857459779727,21,10.16579777112822,2023
774,775,SHORT,23612.0,23780.666822146235,SL,-1.9733167684465245,-0.1003016960320181,1,10.065496075096203,2023
844,847,LONG,23161.5,23067.446596428483,SL,-1.2026911962903715,-0.060528417579067455,3,10.004967657517135,2023
849,854,SHORT,22850.5,22968.380534100896,SL,-1.4771931588028404,-0.07389634888863995,5,9.931071308628495,2023
861,872,LONG,22770.5,23152.391050241793,TP,4.005326796093563,0.19888593013182837,11,10.129957238760323,2023
879,897,LONG,22763.5,23175.983627725473,TP,4.3425989272901155,0.2199517071926766,18,10.349908945952999,2023
898,905,LONG,22926.0,23417.478835366976,TP,5.17190455560252,0.26764370613822797,7,10.617552652091227,2023
920,922,LONG,22977.0,22847.409231512735,SL,-1.597505314959162,-0.08480798396787241,2,10.532744668123355,2023
940,942,SHORT,22695.5,22830.565466945474,SL,-1.6753000809133154,-0.08822753997373174,2,10.444517128149624,2023
947,948,LONG,22034.5,21857.716937464284,SL,-2.1932530524372758,-0.11453734536273787,1,10.329979782786886,2023
950,1005,SHORT,21776.5,21972.896825215368,SL,-2.442187681851608,-0.12613874689649143,55,10.203841035890393,2023
1007,1012,SHORT,21991.4,21695.004606076825,TP,3.181946623716271,0.16234038766544487,5,10.366181423555838,2023
1024,1025,LONG,21577.5,21455.019045111116,SL,-1.6065818548127095,-0.08327059489390697,1,10.282910828661931,2023
1038,1053,SHORT,21768.0,21907.750456638743,SL,-1.7924988129219763,-0.09216052726879524,15,10.190750301393136,2023
1054,1058,SHORT,22030.4,22212.274910863656,SL,-2.2514084045643297,-0.11471770438686492,4,10.076032597006272,2023
1075,1079,SHORT,22755.0,22904.93215636296,SL,-1.834744082212285,-0.09243470589767669,4,9.983597891108595,2023
1083,1085,SHORT,24145.9,24394.72218124793,SL,-2.763736351181038,-0.13796016203615588,2,9.845637729072438,2023
1087,1102,SHORT,24604.1,24883.343560459758,SL,-3.0248681668884543,-0.14890878074693575,15,9.696728948325502,2023
1103,1107,LONG,24905.1,24630.798455769185,SL,-2.940967605337984,-0.14258882857384178,4,9.55414011975166,2023
1125,1126,SHORT,23866.0,24111.966006895113,SL,-2.764031539586757,-0.13203972312312393,1,9.422100396628535,2023
1133,1176,LONG,24683.5,24345.771091477156,SL,-3.6080938027715157,-0.1699791102508323,43,9.252121286377703,2023
1184,1192,LONG,24236.0,24888.816735258937,TP,6.546457080984232,0.30284307454666126,8,9.554964360924364,2023
1197,1215,SHORT,24978.6,25201.41621183203,SL,-2.4175710591469652,-0.11549902655075711,18,9.439465334373606,2023
1233,1239,LONG,24169.7,23928.97215522363,SL,-2.6774755145530444,-0.126369686516288,6,9.313095647857319,2023
1266,1294,LONG,23780.2,23571.08355686691,SL,-2.3859302395805235,-0.11110198265164271,28,9.201993665205675,2023
1295,1298,LONG,23190.0,22978.296990846608,SL,-2.4697661616364037,-0.11363386286958763,3,9.088359802336088,2023
1341,1345,SHORT,23184.0,23289.576340543827,SL,-1.3259612291216456,-0.06025406367102658,4,9.028105738665062,2023
1349,1366,LONG,23468.3,23886.670709532806,TP,4.269264119395162,0.1927168394809415,17,9.220822578146002,2023
1367,1369,LONG,23387.9,23211.40821052202,SL,-2.0740715763063675,-0.09562323009748311,2,9.125199348048518,2023
1389,1391,SHORT,23416.0,23554.35281468447,SL,-1.6646183665492351,-0.07594987216592335,2,9.049249475882595,2023
1407,1418,SHORT,23866.6,23322.90044512522,TP,5.507692809981098,0.24920243137021894,11,9.298451907252813,2023
1437,1448,LONG,23307.0,23168.93182583884,SL,-1.668473250108958,-0.07757109137337971,11,9.220880815879434,2023
1449,1496,SHORT,22345.0,22580.753507352707,SL,-2.8251539198110227,-0.13025203790546022,47,9.090628777973974,2023
1516,1534,SHORT,22479.0,22562.90531233659,SL,-1.1206521902285478,-0.050937165252956,18,9.039691612721018,2023
1557,1558,LONG,22300.1,22225.44651868744,SL,-1.0244186832408726,-0.046302144894036126,1,8.993389467826983,2023
1609,1610,LONG,21010.4,20846.642279222717,SL,-2.136031688797994,-0.09605082446490283,1,8.89733864336208,2023
1611,1616,LONG,20103.0,19884.240026472646,SL,-2.907989149969585,-0.12936682119251017,5,8.767971822169569,2023
1628,1640,SHORT,20168.6,20409.183924555266,SL,-3.169659452754096,-0.13895742383810666,12,8.629014398331462,2023
1687,1689,LONG,22432.7,22101.996556265447,SL,-3.873006467506733,-0.16710114286473235,2,8.46191325546673,2023
1701,1716,LONG,23473.2,24580.40821205582,TP,11.604758959747892,0.4909923183399349,15,8.952905573806664,2023
1723,1729,LONG,25864.9,25450.09334947218,SL,-4.196858730633239,-0.18787039960982743,6,8.765035174196836,2023
1730,1731,LONG,25057.4,24576.57184628112,SL,-4.984767012128959,-0.21845829098243194,1,8.546576883214405,2023
1795,1797,LONG,26633.8,26280.357709852582,SL,-3.505110424980827,-0.14978347865627478,2,8.39679340455813,2023
1805,1847,SHORT,27503.9,27893.675985331745,SL,-3.730415598621854,-0.15661764547384377,42,8.240175759084286,2023
1886,1895,LONG,27488.9,28367.543131457147,TP,7.803390245309412,0.32150653569036697,9,8.561682294774652,2023
1917,1921,SHORT,28540.9,27901.338771812007,TP,5.414646640330152,0.2317924213648786,4,8.793474716139531,2023
1972,2028,LONG,27324.8,26978.838380701804,SL,-3.3527712855921585,-0.1474125476442664,56,8.646062168495265,2023
2030,2057,SHORT,27133.7,27392.60701532802,SL,-2.572974661841358,-0.11123049442121732,27,8.534831674074047,2023
2068,2070,SHORT,28037.8,28277.372211428858,SL,-2.323653794420892,-0.09915997002102887,2,8.435671704053018,2023
2088,2089,SHORT,28952.9,28153.60843250287,TP,6.714153785088279,0.28319198550764835,1,8.718863689560667,2023
2123,2124,SHORT,28355.1,28617.60473554918,SL,-2.5019402201824565,-0.10907037869600121,1,8.609793310864665,2023
2171,2173,LONG,28265.0,28145.653031704576,SL,-1.2431073615374528,-0.05351448723025892,2,8.556278823634406,2023
2174,2177,LONG,28112.0,27976.947051987954,SL,-1.3885257898054655,-0.05940306905691371,3,8.496875754577491,2023
2183,2190,LONG,27702.4,28257.073124139853,TP,4.818141425831819,0.20469574531637905,7,8.70157149989387,2023
2192,2202,SHORT,28279.9,27679.542732598704,TP,5.1197789101207825,0.2227506112503235,10,8.924322111144193,2023
2203,2230,LONG,27696.1,28510.873396757197,TP,7.167085995475893,0.31980692010948697,27,9.24412903125368,2023
2242,2245,SHORT,28559.8,27978.12442468529,TP,4.9042336195868685,0.22667684189436643,3,9.470805873148047,2023
2332,2334,LONG,27874.3,27796.218430121255,SL,-0.8878007239531067,-0.04204094155300085,2,9.428764931595046,2023
2340,2345,LONG,27859.2,28094.367891622176,TP,1.922825239258248,0.09064933592752011,5,9.519414267522565,2023
2347,2365,SHORT,28417.5,28532.941120954827,SL,-1.2030812523517938,-0.05726314419313291,18,9.462151123329432,2023
2367,2372,SHORT,29129.9,29304.68434138522,SL,-1.687542408188962,-0.07983890646655621,5,9.382312216862877,2023
2375,2377,LONG,30196.7,29935.72679942351,SL,-2.3481102701328957,-0.11015351837004528,2,9.27215869849283,2023
2393,2398,SHORT,30113.0,30342.845967852918,SL,-2.0956955289486086,-0.09715810764066689,5,9.175000590852164,2023
2410,2411,SHORT,30133.2,30326.119189204626,SL,-1.788053452708542,-0.08202695742538063,1,9.092973633426784,2023
2413,2446,LONG,29949.8,30628.104328005717,TP,5.474510497613667,0.2488978980535961,33,9.341871531480379,2023
2461,2462,LONG,30231.3,30015.362872652935,SL,-1.973208250613305,-0.09216728991043317,1,9.249704241569946,2023
2513,2516,SHORT,30306.8,30413.702019571614,SL,-1.0693319615698234,-0.049455021902893526,3,9.200249219667052,2023
2518,2529,LONG,29836.4,29687.32334824626,SL,-1.4366172842043763,-0.06608618523980757,11,9.134163034427244,2023
2543,2551,LONG,29366.7,29865.95420210928,TP,4.062672832743204,0.18554558004907395,8,9.319708614476319,2023
2554,2574,SHORT,30296.2,29752.43214379807,TP,4.2995962051505865,0.20035491895955806,20,9.520063533435877,2023
