entry_i,exit_i,side,entry_px,exit_px,exit_type,pnl_pct,pnl_usd,hold,equity,year
211,226,LONG,17196.5,17375.917303085324,TP,2.420840404810894,0.12104202024054468,15,10.121042020240544,2023
231,235,LONG,17430.5,17369.29432252413,SL,-1.0653531521739241,-0.05391242009774003,4,10.067129600142804,2023
237,247,LONG,17395.0,17336.5139502764,SL,-1.0280583461282007,-0.051747983034905326,10,10.015381617107899,2023
260,261,LONG,18201.5,18087.216334354638,SL,-1.7572012010735536,-0.08799520303395994,1,9.927386414073938,2023
272,273,LONG,18127.0,18554.19129382119,TP,5.704143595481721,0.2831361881685605,1,10.210522602242499,2023
281,300,LONG,18793.5,19410.93819760492,TP,8.025954087914961,0.40974592809608146,19,10.62026853033858,2023
320,416,LONG,20819.5,20515.840736005313,SL,-3.8338323326050845,-0.20358164436280166,96,10.416686885975778,2023
425,464,LONG,20710.5,21339.407722785618,TP,7.4041530598684195,0.385633720402444,39,10.802320606378222,2023
473,482,LONG,22555.0,23204.44508869895,TP,7.0109603047988145,0.3786732048551399,9,11.180993811233362,2023
486,494,LONG,22946.0,22722.176778403547,SL,-2.6260864812652702,-0.14681128347395292,8,11.034182527759409,2023
499,516,LONG,22762.5,22524.82899354319,SL,-2.7978350516947788,-0.15435911321481685,17,10.879823414544592,2023
521,534,LONG,22688.5,22490.686042369198,SL,-2.3671720544637327,-0.12877206972205074,13,10.751051344822542,2023
544,553,LONG,22981.0,22773.804467931528,SL,-2.441487338110525,-0.13124277864880182,9,10.61980856617374,2023
555,558,LONG,22917.5,22761.603538102372,SL,-1.888126834271052,-0.10025772764307112,3,10.51955083853067,2023
560,566,LONG,22875.0,22706.083155405195,SL,-2.033585733276548,-0.10696204252856659,6,10.412588796002103,2023
572,582,LONG,22623.0,22444.085166751083,SL,-2.164634257712482,-0.11269723209649658,10,10.299891563905605,2023
584,589,LONG,22633.5,23133.969818375765,TP,5.340476432895542,0.2750316407920875,5,10.574923204697694,2023
594,598,LONG,23181.0,22921.764401489156,SL,-2.9832766976278444,-0.157739609878893,4,10.4171835948188,2023
603,617,LONG,22992.5,22795.078321086192,SL,-2.33408778855939,-0.12157310509923884,14,10.29561048971956,2023
625,636,LONG,22946.5,23471.268161777636,TP,5.529800697030414,0.2846633703120243,11,10.580273860031586,2023
639,653,LONG,23066.0,22887.1230421363,SL,-2.126251385846066,-0.11248160978761533,14,10.46779225024397,2023
656,665,LONG,23018.5,23331.714317749662,TP,3.2142672497085316,0.16823140903355985,9,10.63602365927753,2023
669,675,LONG,23243.0,23592.843601224748,TP,3.5753920666947785,0.19013977306279423,6,10.826163432340325,2023
688,690,LONG,23751.0,23589.185150164107,SL,-1.8907424933254855,-0.10234743620606171,2,10.723815996134263,2023
691,696,LONG,23694.5,23544.494633713755,SL,-1.7702023812091947,-0.09491662306003062,5,10.628899373074233,2023
721,734,LONG,22880.5,23341.17501474059,TP,4.84598937676834,0.2575376672432871,13,10.88643704031752,2023
737,744,LONG,23118.5,22950.437800703232,SL,-2.0048994776560787,-0.10913105967834193,7,10.777305980639179,2023
746,755,LONG,22994.0,23381.224340692475,TP,4.022558501048941,0.2167617189541286,9,10.994067699593307,2023
768,774,LONG,23801.5,23624.296623637758,SL,-2.0487626973325552,-0.11262117897437753,6,10.88144652061893,2023
777,781,LONG,23899.5,23719.546462006096,SL,-2.0698985647597743,-0.11261745267769681,4,10.768829067941233,2023
785,792,LONG,23560.5,23357.215831254092,SL,-2.344544298146338,-0.12623998394477082,7,10.642589083996462,2023
793,797,LONG,23420.0,23267.324877137125,SL,-1.8172515250093266,-0.09670130621470091,4,10.545887777781761,2023
800,803,LONG,23518.0,23337.930902605818,SL,-2.1016625286395736,-0.11081948586900996,3,10.435068291912751,2023
805,844,LONG,23388.0,23217.078845721317,SL,-2.014517640228773,-0.10510814575525085,39,10.3299601461575,2023
906,916,LONG,23243.0,23089.95851641728,SL,-1.8336029512404026,-0.09470522705095066,10,10.23525491910655,2023
1059,1065,LONG,22244.0,22073.76096626536,SL,-2.1008140817146344,-0.10751183831999012,6,10.12774308078656,2023
1096,1100,LONG,24663.1,24459.27898191154,SL,-2.2535523017023427,-0.11411699365378264,4,10.013626087132778,2023
1121,1128,LONG,23751.9,24474.378528855705,TP,7.416928791546158,0.371351758167164,7,10.384977845299941,2023
1138,1176,LONG,24612.0,24326.21790207917,SL,-3.0903735771252925,-0.16046730566073245,38,10.224510539639208,2023
1188,1197,LONG,24499.9,25100.824421484034,TP,5.94440688006926,0.30389325398585987,9,10.528403793625069,2023
1202,1205,LONG,24884.2,24674.54807513285,SL,-2.2937755168656246,-0.12074897426746173,3,10.407654819357607,2023
1208,1215,LONG,24873.5,24690.77251372248,SL,-2.024067896330632,-0.10532899997976258,7,10.302325819377844,2023
1226,1228,LONG,24609.7,24389.83156765051,SL,-2.4210545775597487,-0.12471246542258359,2,10.17761335395526,2023
1241,1244,LONG,24179.9,23965.767712945417,SL,-2.401449262141135,-0.12220511039606813,3,10.055408243559192,2023
1256,1266,LONG,24181.1,23989.174886919907,SL,-2.1717471297841224,-0.10918901995878641,10,9.946219223600405,2023
1406,1418,LONG,23707.9,23539.164262352646,SL,-1.9668197378021266,-0.0978121014274211,12,9.848407122172985,2023
1690,1696,LONG,22218.8,21908.95526024606,SL,-3.673790210924281,-0.1809049083931804,6,9.667502213779803,2023
1717,1723,LONG,24328.4,25326.529830073236,TP,10.069337996675038,0.4867267368707651,6,10.154228950650568,2023
1726,1729,LONG,25921.8,25487.800141687454,SL,-4.373164752375862,-0.22203058067269799,3,9.93219836997787,2023
1734,1751,LONG,24684.7,24204.403613120445,SL,-5.051812579042434,-0.25087802331499487,17,9.681320346662876,2023
1754,1784,LONG,24384.0,25628.0857880019,TP,12.567644644048368,0.6083569690102709,30,10.289677315673147,2023
1788,1793,LONG,25750.0,26624.002775363948,TP,8.297963838484918,0.42691685137567176,5,10.71659416704882,2023
1808,1823,LONG,27320.0,26903.27199716697,SL,-4.000896804841052,-0.2143799368086194,15,10.5022142302402,2023
1825,1829,LONG,27314.1,26950.788987599262,SL,-3.512806457111321,-0.1844612298097709,4,10.31775300043043,2023
1831,1847,LONG,27072.0,28036.12354754197,TP,8.715827677507844,0.44963878585420575,16,10.767391786284636,2023
1853,1856,LONG,28106.1,27775.587003198387,SL,-3.127368896801867,-0.16836803086053234,3,10.599023755424103,2023
1858,1863,LONG,27270.1,28314.95213725007,TP,9.391234009501932,0.4976895617972886,5,11.096713317221392,2023
1865,1868,LONG,28086.2,27720.578776478447,SL,-3.441956134343137,-0.19097200236628672,3,10.905741314855105,2023
1877,1878,LONG,27943.3,27594.46221196888,SL,-3.3084430170301977,-0.1804051184933505,1,10.725336196361754,2023
1879,1886,LONG,27830.9,27481.53170317725,SL,-3.3258129616968097,-0.1783523107020794,7,10.546983885659674,2023
1889,1921,LONG,27950.1,28876.103083021626,TP,8.095145527400877,0.4268968471478352,32,10.97388073280751,2023
1970,1971,LONG,27813.7,27498.468181168955,SL,-3.0209221879059984,-0.16575619896586175,1,10.808124533841648,2023
1973,2028,LONG,27272.1,26938.528496365958,SL,-3.245309112921639,-0.1753785252163412,55,10.632746008625306,2023
2062,2068,LONG,27251.8,27917.393953823233,TP,5.918463219156463,0.31464758085340777,6,10.947393589478713,2023
2073,2088,LONG,28349.9,29098.193483359173,TP,6.411231242078215,0.3509313590009635,15,11.298324948479676,2023
2092,2100,LONG,28601.1,28315.83912814725,SL,-2.680943187960853,-0.15145083652997374,8,11.146874111949703,2023
2109,2117,LONG,28008.1,27736.588142806144,SL,-2.611011923281607,-0.14552310606809876,8,11.001351005881604,2023
2119,2123,LONG,27806.8,28556.574631930678,TP,6.55342876500243,0.3604828506791646,4,11.361833856560768,2023
2138,2140,LONG,28556.0,28334.025543368316,SL,-2.1308258915086404,-0.12105044878289577,2,11.240783407777872,2023
2142,2149,LONG,28425.5,28225.592353294007,SL,-1.9456717709978242,-0.10935437480207065,7,11.131429032975802,2023
2152,2171,LONG,28358.9,28204.921684746234,SL,-1.544907332916366,-0.08598513169441226,19,11.04544390128139,2023
2175,2177,LONG,28179.9,28044.82940541739,SL,-1.3857884483498213,-0.07653324282645867,2,10.96891065845493,2023
2191,2194,LONG,28320.0,28125.602519394408,SL,-1.9035794544985316,-0.10440096483832383,3,10.864509693616608,2023
2215,2221,LONG,28188.8,27961.988917775263,SL,-2.199035452242891,-0.11945720993749735,6,10.74505248367911,2023
2225,2245,LONG,28173.7,27961.494306350512,SL,-2.070512292044434,-0.11123881623060086,20,10.633813667448509,2023
2253,2254,LONG,28154.7,27957.710125962538,SL,-1.9366739748377868,-0.10297115091510943,1,10.530842516533399,2023
2257,2259,LONG,28120.0,27926.535844638067,SL,-1.907487156489439,-0.1004372342365019,2,10.430405282296897,2023
2308,2311,LONG,28097.5,27995.622993432622,SL,-1.0939597078688452,-0.05705221557787587,3,10.373353066719021,2023
2328,2332,LONG,28023.9,27946.195494259242,SL,-0.8806985353640924,-0.04567898426337029,4,10.327674082455651,2023
2349,2355,LONG,28309.7,28188.99209468691,SL,-1.2534588878819959,-0.06472657434901287,6,10.262947508106638,2023
2356,2363,LONG,28253.5,28143.377000523833,SL,-1.161919093883655,-0.0596235733459739,7,10.203323934760665,2023
2370,2372,LONG,29101.9,29638.953787926373,TP,4.426062928248438,0.2258027690627708,2,10.429126703823435,2023
2378,2379,LONG,30100.3,29836.60615099616,SL,-2.3776264190376803,-0.1239828358925098,1,10.305143867930925,2023
2380,2413,LONG,30012.5,29745.722140399746,SL,-2.4097229037922037,-0.12416270602713465,33,10.180981161903789,2023
2426,2437,LONG,30040.7,30578.491322820453,TP,4.2880225645578545,0.21828138475790945,11,10.3992625466617,2023
2439,2442,LONG,30420.8,30231.593944056043,SL,-1.7424069710852073,-0.09059873777724325,3,10.308663808884456,2023
2443,2446,LONG,30267.9,30786.17704059366,TP,4.093248256351274,0.21097960080513892,3,10.519643409689595,2023
2447,2448,LONG,30784.1,30588.777262456653,SL,-1.7737306965555575,-0.09329507216292401,1,10.42634833752667,2023
2449,2460,LONG,30694.7,30493.150802832526,SL,-1.8290635041837353,-0.09535226613038397,11,10.330996071396287,2023
2473,2487,LONG,30364.8,30191.95791920229,SL,-1.6105464287407487,-0.08319274414060997,14,10.247803327255676,2023
2490,2495,LONG,30276.6,30164.537672945593,SL,-1.112821263404777,-0.05701986722880169,5,10.190783460026875,2023
2496,2507,LONG,30264.0,30160.51677217731,SL,-1.0423376604438357,-0.05311118694907075,11,10.137672273077804,2023
2521,2526,LONG,29965.9,29809.33381781962,SL,-1.4937029021352617,-0.07571335247596246,5,10.061958920601842,2023
2527,2529,LONG,29877.3,29742.209017229758,SL,-1.3178814498820342,-0.06630234505468112,2,9.995656575547162,2023
2561,2572,LONG,30223.2,30030.53530946522,SL,-1.7811820930177733,-0.0890204225015998,11,9.906636153045563,2023
2733,2743,LONG,28277.3,28895.49614589364,TP,5.277980667298849,0.26143517046869164,10,10.168071323514255,2023
2745,2746,LONG,28936.2,29562.486875451777,TP,5.223428831807382,0.265560984575591,1,10.433632308089846,2023
2752,2753,LONG,29727.4,29468.249840663164,SL,-2.366888033740237,-0.12347619729231696,1,10.310156110797529,2023
2768,2855,LONG,28982.2,28583.427461379008,SL,-3.6273056274281554,-0.1869904364017933,87,10.123165674395736,2023
2900,2902,LONG,28716.9,28500.77498313276,SL,-2.069014168200954,-0.10472486603685172,2,10.018440808358884,2023
2927,2939,LONG,29062.2,28811.9906019386,SL,-2.33986112597636,-0.11720880095187065,12,9.901232007407014,2023
2941,2952,LONG,28856.3,29506.082842033047,TP,5.441971224940896,0.2694110983788638,11,10.170643105785878,2023
2953,2962,LONG,29185.0,28979.099203551235,SL,-1.9512553233575967,-0.09922760751067466,9,10.071415498275202,2023
2969,2978,LONG,29552.1,29330.007796247544,SL,-2.0663191342785643,-0.10405379276677866,9,9.967361705508424,2023
2979,2982,LONG,29344.0,29165.718832480004,SL,-1.7063894452017045,-0.08504100405393616,3,9.882320701454487,2023
2984,2986,LONG,29235.2,29074.334490033914,SL,-1.563114926236918,-0.07723601497151798,2,9.805084686482969,2023
3189,3195,LONG,27424.2,27283.981538673193,SL,-1.4657365695882536,-0.07185835596443932,6,9.73322633051853,2023
3252,3258,LONG,27388.8,27211.91315941807,SL,-1.8020910060127724,-0.08770079814857071,6,9.645525532369959,2023
3261,3265,LONG,27379.0,27233.43713572227,SL,-1.516647013018478,-0.0731442874383118,4,9.572381244931647,2023
3328,3331,LONG,27168.0,27080.226827893377,SL,-0.9951889364935225,-0.04763163955427033,3,9.524749605377377,2023
3375,3400,LONG,27118.5,26982.138276949503,SL,-1.4445913126693783,-0.06879685267639624,25,9.45595275270098,2023
3491,3493,LONG,26794.7,27043.174894934025,TP,2.130821299865478,0.10074472767988422,2,9.556697480380866,2023
3495,3510,LONG,27078.9,27381.10943289803,TP,2.6025822494453803,0.12436045612879315,15,9.681057936509658,2023
3518,3520,LONG,28151.9,27965.62188672309,SL,-1.8417232786855573,-0.08914914881986702,2,9.59190878768979,2023
3523,3524,LONG,27995.3,27828.96377920486,SL,-1.6728941625481706,-0.08023124109310376,1,9.511677546596687,2023
3536,3569,LONG,27630.5,27472.68514990047,SL,-1.6154044000247156,-0.07682602880194289,33,9.434851517794744,2023
3618,3625,LONG,27140.0,26979.205215267968,SL,-1.6686605078484948,-0.07871782062579259,7,9.356133697168952,2023
3632,3638,LONG,27236.0,27084.37757127002,SL,-1.5792464819538652,-0.07387820612972038,6,9.282255491039232,2023
3639,3656,LONG,27144.7,27020.21871609975,SL,-1.333960302565988,-0.06191080171660749,17,9.220344689322625,2023
3671,3683,LONG,27210.9,27437.92138990616,TP,1.8982578204521163,0.08751295706885406,12,9.30785764639148,2023
3730,3736,LONG,27046.3,26807.85591590399,SL,-2.391536079759608,-0.11130038693305787,6,9.196557259458421,2023
3973,3978,LONG,26298.0,26771.44817131444,TP,4.313300168401042,0.19833755987965918,5,9.39489481933808,2023
3983,3985,LONG,26580.1,26431.28275394894,SL,-1.5872054756289264,-0.07455814250105618,2,9.320336676837025,2023
3995,3997,LONG,26562.0,26436.515166701494,SL,-1.3685559568039558,-0.06377701139251848,2,9.256559665444506,2023
4002,4008,LONG,26534.1,26419.6880560846,SL,-1.2654708367289476,-0.05856953152530743,6,9.197990133919198,2023
4016,4028,LONG,26422.1,26309.170436240176,SL,-1.2560142717632434,-0.0577640343987001,12,9.140226099520499,2023
4035,4050,LONG,26827.4,26667.672805167087,SL,-1.6759706944477968,-0.07659375541711623,15,9.063632344103382,2023
4058,4061,LONG,28196.9,28924.647418905115,TP,6.264870818291309,0.2839124289014726,3,9.347544773004856,2023
4062,4074,LONG,28775.0,29581.70883307343,TP,6.821264839908143,0.31881039249782583,12,9.666355165502681,2023
4082,4098,LONG,30100.0,29760.73001636734,SL,-3.0053570069157804,-0.14525424113990015,16,9.52110092436278,2023
4109,4123,LONG,29930.0,30663.56490435083,TP,5.939837991570614,0.28276898496054065,14,9.803869909323321,2023
4135,4147,LONG,30720.0,30443.456741721548,SL,-2.438014797187936,-0.11950989954317903,12,9.684360009780143,2023
4150,4153,LONG,30629.6,30432.72895276249,SL,-1.794369231376762,-0.08688658813562523,3,9.597473421644517,2023
4154,4160,LONG,30514.4,31040.06130103216,TP,4.1191658776853,0.1976679251521484,6,9.795141346796665,2023
4161,4163,LONG,30848.8,30683.376285105245,SL,-1.52810088961932,-0.07483982102993485,2,9.72030152576673,2023
